State,Year,Total_Pub_Under,4y_Pub_Under,2y_Pub_Under,Total_Pub_Postbacc,Total_Priv_Under,Np_4y_Priv_Under,Fp_4y_Priv_Under,Np_2y_Priv_Under,Fp_2y_Priv_Under,Total_Priv_Postbacc,Np_4y_Priv_Postbacc,Fp_4y_Priv_Postbacc,Total_Enrollment
Hawaii,2021-22,44315,22615,21700,5458,9028,8619,55,0,354,1275,1209,66,53343
Idaho,2021-22,69627,52489,17138,8380,47577,46835,253,0,489,750,747,3,117204
Illinois,2021-22,354955,128299,226656,56458,161166,120874,36618,332,3342,103090,85254,17836,516121
Indiana,2021-22,288690,202590,86100,55311,66862,64124,368,0,2370,18836,18755,81,355552
Iowa,2021-22,136942,55383,81559,14451,38006,35767,2191,0,48,13875,13443,432,174948
Kansas,2021-22,141711,71294,70417,23201,23740,17428,5177,0,1135,5013,4050,963,165451
Kentucky,2021-22,162809,92859,69950,27059,37514,29261,7040,0,1213,29872,29108,764,200323
Louisiana,2021-22,177824,119748,58076,29167,24283,20174,314,537,3258,8368,8368,0,202107
Maine,2021-22,40990,25986,15004,4962,18240,17674,513,53,0,4612,4606,6,59230
Maryland,2021-22,232727,135264,97463,39607,27570,24435,1423,0,1712,35182,34915,267,260297
Massachusetts,2021-22,156439,88670,67769,28729,170879,169588,346,843,102,122432,122432,0,327318
Michigan,2021-22,358178,230263,127915,60963,49600,46963,549,0,2088,12832,12832,0,407778
Minnesota,2021-22,199376,97252,102124,24406,70991,47495,23373,123,0,85580,19619,65961,270367
Mississippi,2021-22,122765,58598,64167,17259,11502,10734,406,0,362,7045,7009,36,134267
Missouri,2021-22,182081,108039,74042,28947,80326,76960,2088,189,1089,45236,44990,246,262407
Montana,2021-22,37917,30611,7306,5665,2984,2637,0,297,50,487,487,0,40901
Nebraska,2021-22,83483,44441,39042,14240,24991,24963,0,0,28,10787,10787,0,108474
Nevada,2021-22,95810,95810,0,9445,6961,893,2228,0,3840,3031,3026,5,102771
New Hampshire,2021-22,29900,20094,9806,4144,133491,133382,0,109,0,30925,30925,0,163391
New Jersey,2021-22,256845,142041,114804,40637,57813,48435,5272,225,3881,25587,25340,247,314658
New Mexico,2021-22,89964,38719,51245,12947,2610,782,556,0,1272,1577,923,654,92574
New York,2021-22,532561,307200,225361,71772,363059,323136,30213,3064,6646,180074,177568,2506,895620
North Carolina,2021-22,403027,191983,211044,52990,71224,64669,5395,501,659,28583,27948,635,474251
North Dakota,2021-22,37211,30469,6742,6865,5279,4704,575,0,0,1613,1591,22,42490
Ohio,2021-22,443026,305407,137619,60110,115712,99439,3684,515,12074,27463,27426,37,558738
Oklahoma,2021-22,136866,87492,49374,22646,19215,16438,684,658,1435,5041,5041,0,156081
Oregon,2021-22,148478,81073,67405,18410,19142,17475,1203,0,464,10036,9715,321,167620
Pennsylvania,2021-22,304519,207304,97215,49775,196522,181702,2606,3228,8986,97630,97356,274,501041
Rhode Island,2021-22,31958,19996,11962,3846,31146,31146,0,0,0,7686,7686,0,63104
South Carolina,2021-22,170481,104308,66173,23247,34182,30620,2179,0,1383,7176,6187,989,204663
South Dakota,2021-22,37179,29983,7196,5692,6479,5472,1007,0,0,1915,1653,262,43658
Tennessee,2021-22,183275,110162,73113,26962,71293,56507,8296,816,5674,26266,24695,1571,254568
Texas,2021-22,1222041,879875,342166,162800,136497,97994,18159,2556,17788,44796,43789,1007,1358538
Utah,2021-22,177023,149798,27225,15111,150695,143677,6528,0,490,47188,45708,1480,327718
Vermont,2021-22,21855,16314,5541,3079,12452,12452,0,0,0,3029,3029,0,34307
Virginia,2021-22,318019,171133,146886,51225,108833,85146,20577,140,2970,68137,65104,3033,426852
Washington,2021-22,248434,228588,19846,27754,33631,27627,3542,940,1522,11611,11514,97,282065
West Virginia,2021-22,60591,48139,12452,11250,49731,5973,40642,0,3116,10708,1154,9554,110322
Wisconsin,2021-22,234041,149295,84746,25779,40576,38671,1733,0,172,15092,14996,96,274617
Wyoming,2021-22,27095,18402,8693,2610,742,0,0,0,742,0,0,0,27837
U.S. Service Academies,2021-22,15358,15358,0,17,0,0,0,0,0,0,0,0,15358
Other jurisdictions,2021-22,55498,54031,1467,6336,98747,67410,27089,0,4248,20536,17419,3117,154245
American Samoa,2021-22,1301,1301,0,0,0,0,0,0,0,0,0,0,1301
"Federated States of 
   Micronesia",2021-22,1946,1946,0,0,0,0,0,0,0,0,0,0,1946
Guam,2021-22,4436,4436,0,338,82,82,0,0,0,0,0,0,4518
Marshall Islands,2021-22,1267,1267,0,0,0,0,0,0,0,0,0,0,1267
Northern Marianas,2021-22,1298,1298,0,0,0,0,0,0,0,0,0,0,1298
Palau,2021-22,525,0,525,0,0,0,0,0,0,0,0,0,525
Puerto Rico,2021-22,43351,42409,942,5748,98665,67328,27089,0,4248,20536,17419,3117,142016
U.S. Virgin Islands,2021-22,1374,1374,0,250,0,0,0,0,0,0,0,0,1374
